,pct_change,day_range,pct_changeVIX,mean_volume,VIX_close,tr_weekly,tr_5,tr_project,day_range_VIX,weekly_range,SPY_open,SPY_high,SPY_low,SPY_close,ATR,VBM,MI,KAMA,BBANDS Upper,Moving Average,BBands Lower,APZ Upper,APZ Lower,KC Upper,KC Lower,DYMI,weekly_range
0,-0.0044455066921605,2.529500000000013,0.0009082217973231,272.2864947091712,15.84,18.75714408060452,0.0,0.0,1.5999999999999996,0.0,209.2,209.7295,207.2,208.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.06350071102796,201.38225496687065,0.0,0.0,0.0,0.0
1,0.0024699728787292,2.508999999999986,-0.0004358775668345,266.5734020661093,17.6,18.75714408060452,3.3194799999999987,3.09451931481912,1.8099999999999987,0.0,206.48,208.289,205.78,206.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.4684627536973,200.9983869709938,0.0,0.0,0.0,0.0
2,-0.0042192046556739,4.5,0.0075654704170707,277.0364493952679,19.61,18.75714408060452,3.665479999999997,3.110070452748953,4.409999999999998,0.0,206.2,208.68,204.18,205.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.6025541843944,200.0456677783888,0.0,0.0,0.0,0.0
3,0.0020443925233645,2.2900000000000205,0.0004380841121495,286.7435850584703,19.34,18.75714408060452,3.2437000000000014,3.091080819922515,1.59,0.0,205.44,207.43,205.14,205.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.15476684927705,199.7012199481679,0.0,0.0,0.0,0.0
4,-0.0073753564755629,4.350000000000023,0.0148982200806372,315.21979358852644,24.39,18.75714408060452,3.2357000000000085,3.0907171313834296,4.390000000000001,8.21950000000001,203.38,204.14,201.51,201.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.5791415195375,198.27440198262977,0.0,0.0,0.0,8.21950000000001
5,-0.0048692048692048,3.5900000000000034,-0.0066304066304066,267.9082967813854,24.3,18.75714408060452,3.743999999999994,3.1135661559445245,3.5600000000000023,0.0,193.05,193.41,189.82,192.11,2.827142857142854,-67.23038142747876,23.71742821996674,198.5000839352421,211.5195718188865,202.075,192.63042818111347,202.5539808692034,192.08575964714944,207.02554692187343,194.22554692187344,1.9908120452493705,0.0
6,-0.0009801392829507,3.410000000000025,-0.0025793139025019,271.0753953335462,22.47,18.75714408060452,4.056,3.127336864614483,2.02,0.0,193.85,194.55,191.14,193.66,2.9378571428571427,-69.12498372116517,23.814163535565918,197.67766522234464,211.8320146589815,201.664,191.49598534101847,201.59580167712497,191.07791471325888,206.65931578152063,193.1793157815206,21.569408680330938,0.0
7,-0.0290957692900837,6.480000000000018,0.0179920834832673,272.1290021705853,25.22,18.75714408060452,4.602000000000004,3.1509885169036704,4.669999999999998,0.0,194.53,194.86,188.38,188.87,3.236428571428573,-68.64153805433466,24.172643943214123,194.9394828239677,212.5924217987556,200.9575,189.32257820124445,199.98324499900545,189.28016941181244,206.3278834605709,191.28388346057093,25.72996518268556,0.0
8,0.0123450276971773,5.599999999999994,-0.0042205222896333,292.1177821450668,23.95,18.75714408060452,4.670000000000004,3.153895353524149,3.210000000000001,0.0,189.55,193.26,187.66,191.89,3.4571428571428595,-65.07265031652817,24.587343897367223,194.41642998895065,212.4362049153788,200.299,188.1617950846212,199.2307583602449,188.2687272159347,206.42680798380587,189.7988079838059,15.280460351081729,0.0
9,0.0055677498795439,6.369999999999976,-0.0103859949676106,293.83030741037555,27.02,18.75714408060452,5.090000000000003,3.171664465116311,4.279999999999998,9.340000000000003,186.79,188.76,185.52,187.83,3.847142857142856,-64.71813948591519,24.77576076811431,193.1780043637975,212.06456695831665,199.2895,186.51443304168336,197.87009746025225,186.6793091849896,206.2634193544451,187.91141935444512,28.131697910588528,9.340000000000003
10,0.005974025974026,2.740000000000009,-0.0069610389610389,278.5001023742639,19.98,18.75714408060452,3.578000000000003,3.1061614056722173,4.050000000000001,0.0,192.5,194.58,191.84,193.65,4.4378571428571485,-49.06550486929776,25.6643161115963,190.5796010389417,200.7544153370102,191.7665,182.77858466298983,195.0681643863836,182.1125780413238,200.56573027198996,184.45773027198996,58.04606038873881,0.0
11,-0.0093277748827513,4.110000000000014,0.0033350703491401,313.4505195882239,21.98,18.75714408060452,3.8200000000000047,3.116938070678154,1.360000000000003,0.0,191.9,191.97,189.54,190.11,4.487857142857147,-50.785879979828486,25.800672552241892,190.5733130820057,199.1032397892384,191.2215,183.33976021076168,195.01148949614984,182.01823148134292,200.37352417542263,184.1855241754226,56.23122131394042,0.0
12,-0.0007315671212834,4.680000000000007,0.0008360767100381,231.65317892952973,21.65,18.75714408060452,3.856000000000006,3.1185313337034763,6.279999999999998,0.0,191.37,191.78,187.1,191.23,4.359285714285718,-46.59133307423239,26.03900144469538,190.60132591786484,196.9961552624957,190.7155,184.43484473750428,195.20049976436525,182.1273310874571,199.80019958844088,184.55619958844085,51.63397785633669,0.0
13,0.0042470637583892,2.789999999999992,-0.0023594798657718,218.67817034195977,21.84,18.75714408060452,3.806000000000006,3.1163177821944434,1.900000000000002,0.0,190.72,192.75,189.96,191.53,4.158571428571433,-46.14749999999998,26.252950387506143,190.63642640647583,195.3586641281912,190.3495,185.34033587180883,195.4225031193957,182.2999054986934,199.44970180023265,184.78170180023264,51.55324205059696,0.0
