,SPY_open,SPY_high,SPY_low,SPY_close,ATR,VBM,MI,KAMA,KC Upper,KC Lower,DYMI,weekly_range
0,209.2,209.7295,207.2,208.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,206.48,208.289,205.78,206.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,206.2,208.68,204.18,205.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,205.44,207.43,205.14,205.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,203.38,204.14,201.51,201.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21950000000001
5,193.05,193.41,189.82,192.11,2.827142857142854,-67.23038142747876,23.71742821996674,198.50008393524212,207.02554692187343,194.22554692187342,1.9908120452493705,0.0
6,193.85,194.55,191.14,193.66,2.9378571428571427,-69.12498372116517,23.814163535565914,197.67766522234464,206.65931578152063,193.17931578152061,21.569408680330938,0.0
7,194.53,194.86,188.38,188.87,3.2364285714285734,-68.64153805433466,24.172643943214123,194.93948282396772,206.32788346057092,191.28388346057093,25.72996518268556,0.0
8,189.55,193.26,187.66,191.89,3.4571428571428595,-65.07265031652817,24.587343897367223,194.41642998895065,206.42680798380587,189.7988079838059,15.280460351081729,0.0
9,186.79,188.76,185.52,187.83,3.847142857142856,-64.71813948591519,24.77576076811431,193.1780043637975,206.2634193544451,187.91141935444512,28.131697910588528,9.340000000000003
10,192.5,194.58,191.84,193.65,4.4378571428571485,-49.06550486929776,25.6643161115963,190.5796010389417,200.56573027198993,184.45773027198993,58.04606038873881,0.0
11,191.9,191.97,189.54,190.11,4.487857142857147,-50.785879979828486,25.800672552241895,190.5733130820057,200.37352417542266,184.18552417542261,56.231221313940424,0.0
12,191.37,191.78,187.1,191.23,4.359285714285718,-46.59133307423239,26.03900144469538,190.60132591786484,199.80019958844088,184.55619958844085,51.63397785633669,0.0
13,190.72,192.75,189.96,191.53,4.158571428571433,-46.14749999999998,26.252950387506143,190.63642640647586,199.44970180023265,184.78170180023264,51.553242050596964,0.0
14,190.97,191.6696,187.2,187.98,4.022828571428578,-45.08647813589473,26.514913635480077,190.58831976176637,199.13333748501628,184.30149748501628,57.17980511861164,7.480000000000018
15,185.75,186.12,182.8,185.35,4.1135428571428605,-44.67578463371574,26.704354681969058,190.50317322050873,198.92878306890233,183.2809430689023,46.32240333557655,0.0
16,183.38,186.94,183.2,185.35,3.877828571428576,-45.80200072714444,26.824753163345317,190.25837207898465,198.54369003130748,182.5598500313075,42.10427485959205,0.0
17,186.44,188.34,185.12,185.31,3.8056857142857177,-45.29271934233065,26.91504060244168,190.1252875506573,197.784348021645,182.31250802164502,40.994919178613706,0.0
18,182.38,184.1,181.09,183.03,3.817114285714289,-46.079511998965955,26.925791451875753,189.6244990498689,197.34693212324103,181.403092123241,35.11788622688732,0.0
19,184.93,186.65,183.96,186.65,3.851400000000002,-44.30623402672184,26.76719612588523,189.32781902277293,196.8676540120993,181.35981401209932,32.41051988237494,7.25
20,195.08,196.23,193.33,193.56,2.9971428571428578,-52.14749500450837,23.50205440636603,191.96469514024366,197.29638607024827,186.4323860702483,71.76191033462787,0.0
21,195.05,198.21,194.4542,198.21,3.0621428571428573,-49.106781171514186,23.57761385437358,192.6409366973631,198.20008185106107,186.7400818510611,64.431232086704,0.0
22,197.7,199.06,197.25,199.03,2.961428571428572,-51.75966077066834,23.629509393031647,193.15719066602995,198.48609986368865,187.70609986368862,73.36027521497739,0.0
23,198.7,199.795,198.11,199.77,2.7803571428571416,-54.168800087113055,23.568606033870623,193.92712110764995,199.14987257729493,188.31587257729493,78.32597358371949,0.0
24,200.0,201.35,199.03,200.36,2.687499999999998,-57.280918799305006,23.5401555060685,194.7370315507305,199.90007241037702,188.83007241037703,77.42206784833789,8.019999999999982
25,199.4,201.07,199.25,200.63,2.591785714285712,-57.52478757811314,23.458882813488216,195.27027848326802,200.27162570549152,189.65362570549152,76.40452085205669,0.0
26,199.3,199.92,198.21,198.36,2.513928571428569,-59.858175026601494,23.393782615764856,195.57504302563882,200.54962349722362,190.02362349722367,74.60810756451957,0.0
27,199.36,199.79,198.43,199.41,2.505357142857138,-62.35770492381939,23.33036982740884,195.96203288728427,200.38680729721702,190.97280729721703,63.294023083731645,0.0
28,199.9,201.07,197.38,199.54,2.6453571428571365,-60.99923198394017,23.329692765949464,196.19756194729112,200.948852297078,191.14685229707803,66.34817759697069,0.0
29,201.25,202.81,199.5179,202.76,2.669792857142852,-61.61511003435394,23.426980629212522,197.07846410499704,201.8911656315075,191.48432563150752,63.477451041348786,5.430000000000007
30,202.2,203.04,201.77,202.53,2.571221428571422,-64.51359072170246,23.37013017689008,198.1880550057513,202.12207568751552,192.36723568751557,77.61050732866869,0.0
31,201.32,202.5307,201.05,202.2,2.37627142857142,-66.95175036092044,23.28154407329501,198.5823283462348,201.96054065627658,193.47342065627663,75.4072847021875,0.0
32,201.62,203.82,201.55,203.39,2.344128571428562,-68.14735983154975,23.211450688186794,199.0949303202331,202.5932294650233,193.92210946502334,70.83704132854713,0.0
33,203.26,205.23,202.77,204.79,2.3926999999999885,-72.3995826661127,23.1934845898088,199.78284125626226,203.3707741813155,194.38965418131554,75.30158720413591,0.0
34,204.2,204.78,203.8,204.52,2.2562714285714174,-75.56999930918293,23.112102356044115,200.22729832206542,203.64222313474687,195.19310313474693,82.7662423542888,4.179999999999978
35,206.84,207.07,205.89,206.29,1.7254071428571365,-97.94185950382202,23.40227859884826,203.41563156883322,206.45225723228026,199.67025723228028,73.92289614116777,0.0
36,204.64,206.2642,203.89,204.14,1.7910714285714238,-99.20435044239932,23.473824131108007,203.42293291930235,206.80701539897007,199.52101539897006,68.60693138751978,0.0
37,204.27,206.49,203.98,206.46,1.8082142857142836,-98.53702705938724,23.5118691141168,203.5016841802174,207.2909760829024,199.66497608290237,48.57636184784102,0.0
38,205.18,205.56,203.09,203.89,1.8732142857142853,-102.4047013002947,23.63902679418705,203.50529343401084,207.6822229466303,199.35222294663032,58.467015430040966,0.0
39,205.32,205.85,203.87,204.48,1.9439285714285717,-101.70949968286023,23.785608911228202,203.5211000655247,207.87392972142547,199.34392972142544,45.45914545088004,3.9799999999999898
40,208.28,208.66,207.54,208.59,1.8515785714285715,-111.9356951267748,23.832103474109545,206.62609778740318,210.04347898342598,203.682638983426,67.0197071323957,0.0
41,209.02,209.52,208.36,209.0,1.7551499999999984,-111.95703435399716,23.86233248349392,206.9011463228146,209.96900633881242,204.1641663388124,59.214444487684155,0.0
42,208.46,209.81,208.05,209.38,1.6401499999999973,-109.73051888025402,23.93505175979741,207.03135099274343,210.11934042465296,204.454500424653,62.21135570078183,0.0
43,208.49,209.76,206.96,207.42,1.6987214285714256,-110.3502077925851,24.165293035178816,207.03670184209088,210.49201513705364,204.10717513705364,72.76919654309707,0.0
44,206.71,207.13,205.03,206.3,1.7151499999999962,-111.36388230417899,24.40845988096116,207.01251019058662,210.72039242563636,203.68839242563638,19.428230797552303,4.780000000000001
45,206.9,208.18,206.41,208.03,1.6672928571428522,-109.52972126755127,24.643338621250333,207.03730837173376,210.71902409070947,203.8470240907095,15.852995803351675,0.0
46,206.5,206.8,205.28,206.13,1.713007142857139,-106.84707908836414,24.689061846591283,206.94993683510916,210.90720927501974,203.43920927501978,46.00384073914919,0.0
47,205.0,205.85,204.42,204.96,1.7637214285714253,-111.4149313394379,24.74169263934803,206.68609618211156,210.73242223358884,203.19242223358887,37.50368589300199,0.0
48,205.57,205.98,204.47,204.95,1.816428571428568,-112.40209166212306,24.824315049910556,206.50204076898393,210.52275869061978,203.01875869061982,33.03915065532621,0.0
49,204.04,205.77,203.88,205.7,1.788571428571426,-110.37830539613286,24.769123401605757,206.4457925221748,210.52277961080972,202.81477961080975,28.32431066517205,4.300000000000011
50,205.58,206.4,205.36,205.89,1.7728571428571402,-113.85453410784,24.725487350623183,206.4154845630767,210.37260876740103,202.81660876740105,32.86690725460036,0.0
51,206.64,208.5,206.64,208.46,1.8499999999999983,-109.30811828485757,24.662597186925513,206.43283412046023,210.84026801536353,202.70426801536357,34.032357868198844,0.0
52,207.89,208.54,206.5,206.5,1.8814285714285697,-110.74499465247138,24.597365312312895,206.4353703487221,210.87033733992678,202.6223373399268,54.511171811636096,0.0
53,207.29,207.4899,205.37,206.55,1.93427857142857,-112.0333387675254,24.545926312606525,206.43676416089409,210.71561829233255,202.73965829233256,44.050632813293326,0.0
54,206.23,206.86,204.38,204.72,2.009992857142856,-115.50039433813467,24.57807704464214,206.40177770997445,210.54241230187282,202.53045230187283,45.00123358083687,4.159999999999997
55,204.95,207.34,204.89,206.81,2.114278571428571,-110.785711359633,24.641133460908115,206.40797301527402,210.71646665729023,202.4085066572902,36.32339339856253,0.0
56,206.44,206.8,204.23,204.82,2.172850000000001,-109.70878518338007,24.69815557615941,206.38233194399447,210.51651388201267,202.27655388201268,46.92901332892627,0.0
57,204.44,206.3,203.63,204.91,2.163564285714289,-111.21713058628096,24.856450140421646,206.37569749426564,210.56693794138806,201.94297794138805,42.10602599843299,0.0
58,204.0,204.54,202.78,204.24,2.144992857142861,-109.52411809971242,25.02267485597958,206.35451611124356,210.49903560892795,201.62707560892795,44.237911450154165,0.0
59,204.95,206.1,204.86,205.49,2.1435642857142887,-105.79156880697427,25.17188433404322,206.34972030421204,210.43845847870466,201.57849847870466,37.66996744818282,4.560000000000002
60,205.48,205.84,204.985,205.16,2.0082071428571453,-105.77745807741299,25.141891695728674,206.33811227380278,210.3206504612458,201.53469046124582,49.41754123032383,0.0
61,206.15,208.24,206.14,207.87,2.1060642857142886,-103.50690172499114,25.18951998153588,206.35105217128978,210.59963535210179,201.62567535210175,48.89570959721933,0.0
62,208.64,209.77,207.8691,209.26,2.133985714285718,-101.7181227760413,25.24577862620801,206.46572113765112,210.8715641111386,201.95324411113862,69.34455965380708,0.0
63,209.47,209.71,208.97,209.34,2.051842857142861,-105.87533692457986,25.19754932699059,206.58031665248203,210.87440415560388,202.50804415560384,88.2602872570486,0.0
64,209.55,210.25,209.47,210.21,2.0425571428571465,-104.85146900317778,25.101760370354015,207.0319147548929,210.8955271744096,203.1571671744096,65.08135489365588,5.264999999999986
65,210.71,211.77,210.51,211.39,1.7904285714285717,-102.96551903069296,24.84201523775906,209.69885158946602,211.61684356416555,205.28644356416555,69.27654219204881,0.0
