,VBM,ATR,weekly_range
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,8.21950000000001
5,-67.23038142747876,2.827142857142854,0.0
6,-69.12498372116517,2.9378571428571427,0.0
7,-68.64153805433466,3.2364285714285734,0.0
8,-65.07265031652817,3.4571428571428595,0.0
9,-64.71813948591519,3.847142857142856,9.340000000000003
10,-49.06550486929776,4.4378571428571485,0.0
11,-50.785879979828486,4.487857142857147,0.0
12,-46.59133307423239,4.359285714285718,0.0
13,-46.14749999999998,4.158571428571433,0.0
14,-45.08647813589473,4.022828571428578,7.480000000000018
15,-44.67578463371574,4.1135428571428605,0.0
16,-45.80200072714444,3.877828571428576,0.0
17,-45.29271934233065,3.8056857142857177,0.0
18,-46.079511998965955,3.817114285714289,0.0
19,-44.30623402672184,3.851400000000002,7.25
20,-52.14749500450837,2.9971428571428578,0.0
21,-49.106781171514186,3.0621428571428573,0.0
22,-51.75966077066834,2.961428571428572,0.0
23,-54.168800087113055,2.7803571428571416,0.0
24,-57.280918799305006,2.687499999999998,8.019999999999982
25,-57.52478757811314,2.591785714285712,0.0
26,-59.858175026601494,2.513928571428569,0.0
27,-62.35770492381939,2.505357142857138,0.0
28,-60.99923198394017,2.6453571428571365,0.0
29,-61.61511003435394,2.669792857142852,5.430000000000007
30,-64.51359072170246,2.571221428571422,0.0
31,-66.95175036092044,2.37627142857142,0.0
32,-68.14735983154975,2.344128571428562,0.0
33,-72.3995826661127,2.3926999999999885,0.0
34,-75.56999930918293,2.2562714285714174,4.179999999999978
35,-97.94185950382202,1.7254071428571365,0.0
36,-99.20435044239932,1.7910714285714238,0.0
37,-98.53702705938724,1.8082142857142836,0.0
38,-102.4047013002947,1.8732142857142853,0.0
39,-101.70949968286023,1.9439285714285717,3.9799999999999898
40,-111.9356951267748,1.8515785714285715,0.0
41,-111.95703435399716,1.7551499999999984,0.0
42,-109.73051888025402,1.6401499999999973,0.0
43,-110.3502077925851,1.6987214285714256,0.0
44,-111.36388230417899,1.7151499999999962,4.780000000000001
45,-109.52972126755127,1.6672928571428522,0.0
46,-106.84707908836414,1.713007142857139,0.0
47,-111.4149313394379,1.7637214285714253,0.0
48,-112.40209166212306,1.816428571428568,0.0
49,-110.37830539613286,1.788571428571426,4.300000000000011
50,-113.85453410784,1.7728571428571402,0.0
51,-109.30811828485757,1.8499999999999983,0.0
52,-110.74499465247138,1.8814285714285697,0.0
53,-112.0333387675254,1.93427857142857,0.0
54,-115.50039433813467,2.009992857142856,4.159999999999997
55,-110.785711359633,2.114278571428571,0.0
56,-109.70878518338007,2.172850000000001,0.0
57,-111.21713058628096,2.163564285714289,0.0
58,-109.52411809971242,2.144992857142861,0.0
59,-105.79156880697427,2.1435642857142887,4.560000000000002
60,-105.77745807741299,2.0082071428571453,0.0
61,-103.50690172499114,2.1060642857142886,0.0
62,-101.7181227760413,2.133985714285718,0.0
63,-105.87533692457986,2.051842857142861,0.0
64,-104.85146900317778,2.0425571428571465,5.264999999999986
65,-102.96551903069296,1.7904285714285717,0.0
66,-105.13069726440887,1.6740000000000006,0.0
67,-108.43707997311814,1.542578571428572,0.0
68,-111.9107367689835,1.47615,0.0
69,-113.87940212068297,1.5297214285714287,3.0900000000000034
70,-115.06024096385529,1.6129357142857157,0.0
71,-115.49863836088595,1.5229428571428574,0.0
72,-114.71135631306255,1.517878571428572,0.0
73,-113.39308694747976,1.6778785714285707,0.0
74,-113.29659793877383,1.7985928571428562,4.780000000000001
75,-111.05214610012327,1.910735714285715,0.0
76,-113.1554869918065,1.8785928571428567,0.0
77,-117.0638331774858,1.8700142857142847,0.0
78,-115.22555999015769,1.9257285714285726,0.0
79,-107.84636632095847,2.401442857142858,8.150000000000006
80,-104.6549146563129,2.6535857142857133,0.0
81,-97.83466548202036,2.8585785714285685,0.0
82,-90.3318717221219,3.037864285714284,0.0
83,-88.9829947069618,3.064292857142856,0.0
84,-89.64465661198086,3.0057214285714275,11.840000000000003
85,-81.23183299228835,2.95567857142857,0.0
86,-83.15694534473393,3.0063928571428584,0.0
87,-77.42573117072916,2.9728214285714296,0.0
88,-73.13533119002702,2.8942499999999995,0.0
89,-75.18269990791048,2.433857142857142,4.0625
90,-78.03077504299705,2.180285714285714,0.0
91,-82.66010176434362,1.9717142857142866,0.0
92,-83.5718856028744,1.791714285714286,0.0
93,-83.25446243254464,1.6838571428571438,0.0
94,-84.82581768918136,1.6838571428571438,1.740000000000009
95,-87.28177235340938,1.6267142857142878,0.0
96,-91.77013905335451,1.531714285714287,0.0
97,-94.82941543582275,1.5053214285714307,0.0
98,-95.730864879801,1.3596071428571455,0.0
99,-95.77549182599053,1.3624642857142877,1.9199999999999875
100,-99.69082263263812,1.3192500000000007,0.0
101,-111.60189836970542,1.4092500000000021,0.0
102,-119.83104226071399,1.3646071428571471,0.0
103,-122.51614874301657,1.4235714285714332,0.0
104,-127.95737122557715,1.4857142857142887,3.9799999999999898
105,-133.6275590928703,1.4857142857142887,0.0
106,-135.58566812943045,1.4692857142857159,0.0
107,-138.21060052553983,1.448128571428573,0.0
108,-142.7090945326512,1.4559857142857149,0.0
109,-147.46592738045828,1.4159857142857146,1.710000000000008
110,-156.9807730738593,1.3931285714285724,0.0
111,-159.396740562736,1.3559857142857143,0.0
112,-160.3076544495727,1.3666999999999985,0.0
113,-159.69633710981728,1.315271428571427,0.0
114,-163.7714491008089,1.3091999999999981,2.4799999999999898
115,-167.74420746573236,1.2099142857142826,0.0
116,-169.27671505340905,1.208128571428568,0.0
117,-166.0254346897331,1.139557142857139,0.0
118,-167.52999664249657,1.0802714285714257,0.0
119,-160.30751998370752,1.2295571428571404,3.3499999999999943
120,-160.23388521840926,1.259914285714284,0.0
