,SPY_high,SPY_low,VBM,MI,weekly_range
250,244.38,243.045,-181.19213838003125,24.768567592847088,0.0
251,243.38,241.31,-183.35253208010016,24.753348173454345,0.0
252,243.715,242.23,-176.66574478367863,24.841420153798804,0.0
253,243.72,239.955,-165.8842222639984,25.23776529268467,0.0
254,242.71,241.575,-162.81970892049756,25.478063063162427,4.424999999999983
255,242.8,241.76,-151.65467901598265,26.06451460183741,0.0
256,242.55,240.85,-150.08404198068794,26.140508884685453,0.0
257,244.2,243.3,-144.2912353125794,26.1635447958333,0.0
258,244.55,243.76,-144.50245918758438,26.103430450145588,0.0
259,245.97,244.31,-139.65605906486653,26.07718286117438,5.1200000000000045
260,245.91,245.33,-144.11186075713988,25.688845658922652,0.0
261,245.72,244.67,-148.3236384902517,25.41867289759974,0.0
262,247.0,246.01,-146.9932833627628,25.223356621958057,0.0
263,247.42,246.47,-148.49884359815448,25.006161267586023,0.0
264,246.91,246.18,-151.7476822698227,24.75764075192098,2.75
265,246.98,246.28,-153.3890857262291,24.534357611385385,0.0
266,247.8,247.16,-159.6887563221372,24.31624746604248,0.0
267,247.79,247.13,-166.19690235690234,24.10652654461209,0.0
268,248.0,245.68,-163.24765056254134,24.177349165202976,0.0
269,247.06,246.13,-166.43727598566312,24.252609383762614,2.319999999999993
270,247.48,246.53,-166.83419483101406,24.31325889977017,0.0
271,247.5,246.716,-169.17451760121716,24.29928690579169,0.0
272,247.6,246.37,-169.52467615886974,24.212611156183407,0.0
273,247.34,246.64,-176.02260763561827,24.077344827116093,0.0
274,247.79,246.97,-185.6110483800923,23.68097071973667,1.4199999999999875
275,247.87,247.37,-204.78928183155352,23.37990205888346,0.0
276,248.91,246.83,-200.31880977683352,23.394444074639637,0.0
277,247.31,246.06,-202.3161950480043,23.45935591763155,0.0
278,246.44,243.7,-192.5460122699388,23.72059502396165,0.0
279,244.8,243.75,-200.44397983027935,23.85066755339676,5.210000000000008
280,246.79,245.55,-192.57590246234776,23.99203357414225,0.0
281,247.0,246.16,-193.30387205387234,24.016402726991096,0.0
282,247.57,246.45,-196.1693795129119,24.086679799389003,0.0
283,246.6,243.09,-189.44212721585015,24.491674200427358,0.0
284,244.189,242.2,-183.53497746549877,24.797176678807077,5.3700000000000045
285,243.2,241.83,-184.1932661643106,25.084266354171927,0.0
286,245.62,243.55,-172.56753519814797,25.373847336542774,0.0
287,245.05,244.16,-172.75560140729613,25.540190872063945,0.0
288,245.18,243.75,-171.89929538437215,25.684939374297166,0.0
289,245.61,244.39,-168.51489769986804,25.81904873566533,3.789999999999992
290,245.2,244.09,-162.99899362630018,25.93655891037559,0.0
291,245.15,242.93,-157.1310803764311,26.17007365549643,0.0
292,246.32,244.62,-156.70529114726938,26.413593542353393,0.0
293,247.77,246.0473,-151.65894566792602,26.400033994342117,0.0
294,248.33,247.67,-157.5121266589518,26.320568779164557,5.400000000000006
295,250.12,249.28,-154.6001128862057,24.794814399473605,0.0
296,250.07,249.6,-158.5864721551445,24.45145713502608,0.0
297,250.19,248.92,-164.72232969640677,24.30711953610935,0.0
298,249.98,249.185,-162.63735697350776,24.186495044525735,0.0
299,249.63,249.02,-165.91006423982864,23.760999574131578,1.2700000000000102
300,249.5532,248.08,-177.21481629971154,23.503874971726045,0.0
301,249.7,248.805,-182.23712927014182,23.335336164008712,0.0
302,250.49,248.87,-184.1183581766134,23.27126982391197,0.0
303,250.44,249.63,-195.80438558402076,23.266864187801943,0.0
304,251.32,250.13,-195.8340892323693,23.303990760883316,3.2399999999999807
305,252.32,251.2926,-196.87534368775425,23.36248822830195,0.0
306,252.89,252.23,-200.90894212732738,23.387128972224577,0.0
307,253.44,252.56,-203.00032970656108,23.30473205196467,0.0
308,254.68,253.196,-206.76453805052634,23.30938637158987,0.0
309,254.7008,253.85,-213.02593852103735,23.26704044153552,3.4081999999999937
310,254.7,253.65,-217.37399262395851,23.338328119155047,0.0
311,255.05,253.98,-214.95938261575947,23.28362227257879,0.0
312,255.02,254.32,-230.81962418659052,23.24963881355762,0.0
313,255.06,254.365,-235.9953781355995,23.248025967163105,0.0
314,255.27,254.64,-239.71943284817007,23.264369285128446,1.6200000000000045
315,255.51,254.82,-241.06161925271053,23.249427600502294,0.0
316,255.52,254.98,-264.3888179834488,23.25810083812501,0.0
317,255.95,255.5,-270.91632131943527,23.272902741551643,0.0
318,255.83,254.35,-262.56333589235874,23.479916031372806,0.0
319,257.14,255.7744,-255.15109511470916,23.782518302214683,2.789999999999992
320,257.51,256.02,-259.553077911735,24.1353719073489,0.0
321,256.83,256.15,-260.6553075779382,24.42463340326353,0.0
322,256.31,254.0,-241.07015702194204,24.80206968523987,0.0
323,256.3,255.48,-244.36604581872623,25.051699723849136,0.0
324,257.89,255.6254,-231.1723914361022,25.45353405027325,3.8899999999999864
325,257.6,256.41,-225.86413297740629,25.634013821623892,0.0
326,257.44,256.805,-232.32012557271372,25.690199976904886,0.0
327,258.43,257.07,-228.8702463184402,25.647110963253898,0.0
328,257.75,256.19,-229.5844747903554,25.699358397828675,0.0
329,258.5,257.3,-226.18374631207595,25.701793481747682,2.3100000000000023
330,259.0,258.22,-229.1823908145403,25.643373382181643,0.0
331,259.35,258.09,-230.3736989189152,25.66931992834722,0.0
332,259.22,258.15,-224.97589858946887,25.688744458879533,0.0
333,258.39,256.36,-212.99491668112583,25.73274466743828,0.0
334,258.2926,257.37,-215.0681431005109,25.746474952812946,2.990000000000009
335,258.59,257.27,-212.16460384858595,25.76047474380994,0.0
336,257.85,256.52,-211.00046609475544,25.77217043694945,0.0
337,257.22,255.63,-204.05822942491085,25.872865091647352,0.0
338,259.04,257.4748,-191.8345203328982,26.024587401632466,0.0
339,258.5882,257.77,-192.055894875345,26.124099236341777,3.410000000000025
340,266.38,265.4793,-152.9824023274563,26.35104633071945,0.0
341,267.32,266.345,-154.1038322662861,26.25331584472854,0.0
342,267.56,266.65,-153.49850258644113,26.104196762431442,0.0
343,267.22,265.6,-156.04523919961383,26.023685890742858,0.0
344,267.04,265.39,-153.29153961939303,25.869206170867134,2.170000000000016
345,274.1,272.98,-159.3000221154608,24.99931164526279,0.0
346,275.25,274.081,-166.62929505953875,24.535520565286475,0.0
347,274.42,272.92,-180.67841189217322,24.16460534568561,0.0
348,276.12,274.56,-182.6990408259639,23.928388820371158,0.0
349,278.11,276.0819,-181.3803815321667,23.92883244424427,5.189999999999998
350,286.43,284.5,-146.58948458283598,26.165773683132247,0.0
351,284.736,281.22,-144.63397679268496,26.39592377681344,0.0
352,283.3,280.68,-142.7697463898846,26.662899387391022,0.0
353,283.06,280.68,-137.41515079774763,26.953410412124427,0.0
354,280.23,275.41,-129.26296830981005,27.397468211037847,11.019999999999982
355,275.85,263.31,-111.0793409349529,28.344037268356388,0.0
356,269.7,258.7,-95.63896006940959,29.145108036937877,0.0
357,272.36,267.58,-94.20331128084563,29.621778767629053,0.0
358,268.17,257.59,-88.46819739728811,30.05564648037726,0.0
359,263.61,252.92,-79.56786752541724,30.433546360252723,22.930000000000035
360,278.01,275.26,-55.522338537087066,28.804463291499587,0.0
361,278.92,274.36,-50.560220923096765,28.557034212156296,0.0
362,276.19,271.29,-51.79845280745694,28.452970032322554,0.0
363,273.17,266.0,-51.7661488143908,28.38485821057519,0.0
364,269.72,264.82,-50.96716471325039,28.34998115453955,14.100000000000023
365,272.89,267.61,-50.471066388442516,28.284455840774736,0.0
366,273.39,271.18,-52.06460905802276,28.158600864000906,0.0
367,273.18,270.2,-51.772604964298814,27.90008218141349,0.0
368,274.24,272.42,-51.51134197729754,27.593568510515233,0.0
369,278.87,275.34,-49.29780184286638,27.345788766185738,11.259999999999991
370,279.91,278.0801,-49.69436922296612,26.912045183008978,0.0
371,280.41,276.03,-52.35154436391335,26.09642005952881,0.0
372,278.02,274.67,-57.76889905611645,25.25661981941533,0.0
373,276.61,274.43,-60.63782314408239,24.648739920634235,0.0
374,275.39,274.14,-61.430588334457084,23.94607165811788,6.270000000000039
375,263.13,254.67,-65.09793671781311,24.63504535753655,0.0
376,261.31,256.84,-64.14416781250746,24.939132401049974,0.0
377,264.355,256.6,-60.85794629987855,25.23433192540777,0.0
378,266.64,264.32,-59.552485388143836,25.331063268641167,0.0
379,265.11,258.0,-59.671770613563496,25.366430112753473,11.969999999999999
380,267.89,265.35,-58.35525819331244,24.722134231404297,0.0
381,267.9762,261.28,-54.041069189679,24.80019889087237,0.0
382,264.13,260.85,-55.56748547454243,24.938795722150424,0.0
383,267.2452,264.29,-55.79532485099549,25.02261067582413,0.0
384,267.34,265.5,-55.71654277840371,24.896849359235684,7.126199999999983
385,267.89,264.43,-58.82467435751622,24.65004609517314,0.0
386,265.1,262.11,-60.5294191972371,24.377760902558652,0.0
387,265.68,262.76,-64.45248862166962,24.031945022502214,0.0
388,263.36,259.05,-68.2029042445489,23.871720623191997,0.0
389,266.7892,261.15,-66.47485334842035,23.843960297995483,8.839999999999975
390,268.02,266.11,-67.69182856637538,23.625328740803752,0.0
391,267.325,265.15,-70.84577399504353,23.44024611497513,0.0
392,269.865,267.09,-71.2499064503522,23.20666741360404,0.0
393,272.39,270.22,-72.28373800916576,23.087663978127658,0.0
394,273.15,271.58,-73.63481931546715,22.863496507253664,8.0
395,274.08,272.36,-80.45038409926762,22.651579582269516,0.0
396,271.61,270.03,-83.34316117082572,22.49952047072914,0.0
397,272.76,271.11,-85.19944972345797,22.420322440147924,0.0
398,273.23,271.13,-85.75180346398061,22.434008344616373,0.0
399,272.03,270.93,-87.17980402415657,22.39007989587575,4.050000000000011
400,273.98,271.3512,-87.09359946589073,22.46569149511501,0.0
401,274.25,272.24,-90.96595307387943,22.58152044542948,0.0
402,273.39,270.99,-92.76022933656222,22.78229380689597,0.0
403,273.22,270.78,-91.51813766339548,23.009296324263836,0.0
404,272.86,271.58,-95.34207495884328,23.10111543156444,3.4700000000000273
405,275.185,274.26,-102.15947715466726,23.250690876130612,0.0
406,275.53,274.18,-102.64242680477744,23.15822857136543,0.0
407,277.52,275.09,-102.79985452203923,23.13809753320474,0.0
408,278.28,276.34,-106.05246580818657,23.131851992161653,0.0
409,278.25,276.66,-107.29200793704759,23.038088382723675,4.099999999999966
410,279.37,278.31,-113.22264660794552,22.785962993297616,0.0
411,279.33,278.19,-121.47302032235464,22.62148574454161,0.0
412,279.48,277.8,-121.97004933051446,22.55303357093014,0.0
413,279.33,278.0599,-120.64167486803257,22.48406690225902,0.0
414,277.51,275.35,-123.76313920454547,22.530840847743296,4.1299999999999955
415,276.7,274.95,-124.0481927710843,22.64739075738917,0.0
416,275.75,273.53,-123.78132118451016,22.844459276004397,0.0
417,276.72,275.59,-125.85433975605419,22.997408595045222,0.0
418,275.98,273.68,-128.30758226037182,23.22407481790985,0.0
419,275.785,274.49,-130.48221485529942,23.37029164599821,3.1900000000000546
420,273.6162,269.1,-124.31106243154419,23.810009314908772,0.0
421,272.56,270.79,-123.37382321086373,24.073626395268242,0.0
422,273.865,269.18,-120.58049959709898,24.48069396031018,0.0
423,271.75,268.49,-117.86255924170607,24.811646679355825,0.0
424,273.66,271.1495,-116.29150306266662,25.02615762457245,5.375
425,277.96,276.5,-114.40333975594089,25.38196648749235,0.0
426,279.01,278.08,-116.06358668653743,25.37851266545595,0.0
427,278.04,276.52,-115.8473482062596,25.377241895201557,0.0
428,279.43,277.6,-109.42039900648972,25.31399810170309,0.0
429,279.93,278.66,-111.90889052167516,25.20801323026271,3.430000000000007
430,279.803,278.84,-111.88955996548736,25.07809622394687,0.0
431,280.91,278.41,-111.0539736506585,25.1035324492695,0.0
432,281.18,280.06,-111.24382342354112,25.1152778396049,0.0
433,280.74,279.46,-111.35015752379071,25.081996445652905,0.0
434,280.48,279.5,-111.94717303459346,25.02834397812035,2.769999999999982
435,280.43,279.06,-113.4823127912316,24.91411185098459,0.0
436,282.56,280.63,-116.80650113469464,24.856527986025,0.0
437,284.37,281.28,-116.1533909727469,24.903923752329806,0.0
438,284.11,283.09,-121.30210104032052,24.92514420378683,0.0
