,SPY_open,SPY_high,SPY_low,SPY_close,MI,BBANDS Upper,BBands Lower,weekly_range
0,209.2,209.7295,207.2,208.27,0.0,0.0,0.0,0.0
1,206.48,208.289,205.78,206.99,0.0,0.0,0.0,0.0
2,206.2,208.68,204.18,205.33,0.0,0.0,0.0,0.0
3,205.44,207.43,205.14,205.86,0.0,0.0,0.0,0.0
4,203.38,204.14,201.51,201.88,0.0,0.0,0.0,8.21950000000001
5,193.05,193.41,189.82,192.11,23.71742821996674,211.5195718188865,192.63042818111347,0.0
6,193.85,194.55,191.14,193.66,23.814163535565914,211.8320146589815,191.49598534101847,0.0
7,194.53,194.86,188.38,188.87,24.172643943214123,212.5924217987556,189.32257820124443,0.0
8,189.55,193.26,187.66,191.89,24.587343897367223,212.4362049153788,188.16179508462122,0.0
9,186.79,188.76,185.52,187.83,24.77576076811431,212.06456695831665,186.51443304168336,9.340000000000003
10,192.5,194.58,191.84,193.65,25.6643161115963,200.7544153370102,182.77858466298983,0.0
11,191.9,191.97,189.54,190.11,25.800672552241895,199.10323978923836,183.33976021076168,0.0
12,191.37,191.78,187.1,191.23,26.03900144469538,196.9961552624957,184.43484473750428,0.0
13,190.72,192.75,189.96,191.53,26.252950387506143,195.35866412819118,185.34033587180883,0.0
14,190.97,191.6696,187.2,187.98,26.514913635480077,194.85559590672293,185.2424040932771,7.480000000000018
15,185.75,186.12,182.8,185.35,26.704354681969058,194.86997905869913,184.56802094130086,0.0
16,183.38,186.94,183.2,185.35,26.824753163345317,194.7537613208224,184.0082386791776,0.0
17,186.44,188.34,185.12,185.31,26.91504060244168,194.2329402978524,183.69405970214763,0.0
18,182.38,184.1,181.09,183.03,26.925791451875753,194.57218069222338,182.77081930777658,0.0
19,184.93,186.65,183.96,186.65,26.76719612588523,194.17218385937986,182.64681614062016,7.25
20,195.08,196.23,193.33,193.56,23.50205440636603,198.0428400982364,183.10915990176358,0.0
21,195.05,198.21,194.4542,198.21,23.57761385437358,198.91661370044397,182.69138629955603,0.0
22,197.7,199.06,197.25,199.03,23.629509393031647,200.14501338716786,182.3549866128322,0.0
23,198.7,199.795,198.11,199.77,23.568606033870623,201.353552452626,182.00044754737405,0.0
24,200.0,201.35,199.03,200.36,23.5401555060685,202.5436099199052,181.69339008009476,8.019999999999982
25,199.4,201.07,199.25,200.63,23.458882813488216,203.64340372678913,181.85859627321088,0.0
26,199.3,199.92,198.21,198.36,23.393782615764856,203.98235913335972,182.82064086664028,0.0
27,199.36,199.79,198.43,199.41,23.33036982740884,204.29402501346368,183.91497498653632,0.0
28,199.9,201.07,197.38,199.54,23.329692765949464,204.38846357775105,185.24353642224895,0.0
29,201.25,202.81,199.5179,202.76,23.426980629212522,204.2627597322331,187.34224026776693,5.430000000000007
30,202.2,203.04,201.77,202.53,23.37013017689008,204.39485684446967,188.7981431555303,0.0
31,201.32,202.5307,201.05,202.2,23.28154407329501,204.70684044192097,189.72515955807904,0.0
32,201.62,203.82,201.55,203.39,23.211450688186794,205.42290345563205,190.06109654436798,0.0
33,203.26,205.23,202.77,204.79,23.1934845898088,206.1844283405173,190.5735716594827,0.0
34,204.2,204.78,203.8,204.52,23.112102356044115,206.6631583604472,191.3468416395528,4.179999999999978
35,206.84,207.07,205.89,206.29,23.40227859884826,208.14490826206514,198.56809173793488,0.0
36,204.64,206.2642,203.89,204.14,23.473824131108007,208.15405513643157,198.9099448635684,0.0
37,204.27,206.49,203.98,206.46,23.5118691141168,208.04140636133292,199.83259363866705,0.0
38,205.18,205.56,203.09,203.89,23.63902679418705,207.67111110935292,200.65088889064708,0.0
39,205.32,205.85,203.87,204.48,23.785608911228202,207.1629809436732,201.65301905632677,3.9799999999999898
40,208.28,208.66,207.54,208.59,23.832103474109545,210.94735211053126,202.91064788946875,0.0
41,209.02,209.52,208.36,209.0,23.86233248349392,211.15393341786313,203.08106658213688,0.0
42,208.46,209.81,208.05,209.38,23.93505175979741,211.40936308932484,203.15363691067515,0.0
43,208.49,209.76,206.96,207.42,24.165293035178816,211.42208784567063,203.32691215432934,0.0
44,206.71,207.13,205.03,206.3,24.40845988096116,211.41544820995128,203.2725517900487,4.780000000000001
45,206.9,208.18,206.41,208.03,24.643338621250333,211.48192789890226,203.3800721010977,0.0
46,206.5,206.8,205.28,206.13,24.689061846591283,211.33109538272066,203.72990461727937,0.0
47,205.0,205.85,204.42,204.96,24.74169263934803,211.40146382729435,203.5095361727057,0.0
48,205.57,205.98,204.47,204.95,24.824315049910556,211.2773209799547,203.7396790200453,0.0
49,204.04,205.77,203.88,205.7,24.769123401605757,211.16755488387378,203.97144511612623,4.300000000000011
50,205.58,206.4,205.36,205.89,24.725487350623183,210.95150455542245,204.37749544457756,0.0
51,206.64,208.5,206.64,208.46,24.662597186925513,210.99472713952525,204.58127286047477,0.0
52,207.89,208.54,206.5,206.5,24.597365312312895,210.96584513335193,204.4561548666481,0.0
53,207.29,207.4899,205.37,206.55,24.545926312606525,210.92914732394928,204.3458526760507,0.0
54,206.23,206.86,204.38,204.72,24.57807704464214,211.02207107645972,203.94492892354026,4.159999999999997
55,204.95,207.34,204.89,206.81,24.641133460908115,210.81075483943536,203.9122451605647,0.0
56,206.44,206.8,204.23,204.82,24.69815557615941,210.5153927374397,203.69860726256036,0.0
57,204.44,206.3,203.63,204.91,24.856450140421646,210.09010377560034,203.6078962243997,0.0
58,204.0,204.54,202.78,204.24,25.02267485597958,209.90592337136806,203.3260766286319,0.0
