,SPY_high,SPY_low,KC Upper,KC Lower,BBANDS Upper,BBands Lower,weekly_range
0,209.7295,207.2,0.0,0.0,0.0,0.0,0.0
1,208.289,205.78,0.0,0.0,0.0,0.0,0.0
2,208.68,204.18,0.0,0.0,0.0,0.0,0.0
3,207.43,205.14,0.0,0.0,0.0,0.0,0.0
4,204.14,201.51,0.0,0.0,0.0,0.0,8.21950000000001
5,193.41,189.82,207.02554692187343,194.22554692187342,211.5195718188865,192.63042818111347,0.0
6,194.55,191.14,206.65931578152063,193.17931578152061,211.8320146589815,191.49598534101847,0.0
7,194.86,188.38,206.32788346057092,191.28388346057093,212.5924217987556,189.32257820124443,0.0
8,193.26,187.66,206.42680798380587,189.7988079838059,212.4362049153788,188.16179508462122,0.0
9,188.76,185.52,206.2634193544451,187.91141935444512,212.06456695831665,186.51443304168336,9.340000000000003
10,194.58,191.84,200.56573027198993,184.45773027198993,200.7544153370102,182.77858466298983,0.0
11,191.97,189.54,200.37352417542266,184.18552417542261,199.10323978923836,183.33976021076168,0.0
12,191.78,187.1,199.80019958844088,184.55619958844085,196.9961552624957,184.43484473750428,0.0
13,192.75,189.96,199.44970180023265,184.78170180023264,195.35866412819118,185.34033587180883,0.0
14,191.6696,187.2,199.13333748501628,184.30149748501628,194.85559590672293,185.2424040932771,7.480000000000018
15,186.12,182.8,198.92878306890233,183.2809430689023,194.86997905869913,184.56802094130086,0.0
16,186.94,183.2,198.54369003130748,182.5598500313075,194.7537613208224,184.0082386791776,0.0
17,188.34,185.12,197.784348021645,182.31250802164502,194.2329402978524,183.69405970214763,0.0
18,184.1,181.09,197.34693212324103,181.403092123241,194.57218069222338,182.77081930777658,0.0
19,186.65,183.96,196.8676540120993,181.35981401209932,194.17218385937986,182.64681614062016,7.25
20,196.23,193.33,197.29638607024827,186.4323860702483,198.0428400982364,183.10915990176358,0.0
21,198.21,194.4542,198.20008185106107,186.7400818510611,198.91661370044397,182.69138629955603,0.0
22,199.06,197.25,198.48609986368865,187.70609986368862,200.14501338716786,182.3549866128322,0.0
23,199.795,198.11,199.14987257729493,188.31587257729493,201.353552452626,182.00044754737405,0.0
24,201.35,199.03,199.90007241037702,188.83007241037703,202.5436099199052,181.69339008009476,8.019999999999982
25,201.07,199.25,200.27162570549152,189.65362570549152,203.64340372678913,181.85859627321088,0.0
26,199.92,198.21,200.54962349722362,190.02362349722367,203.98235913335972,182.82064086664028,0.0
27,199.79,198.43,200.38680729721702,190.97280729721703,204.29402501346368,183.91497498653632,0.0
28,201.07,197.38,200.948852297078,191.14685229707803,204.38846357775105,185.24353642224895,0.0
29,202.81,199.5179,201.8911656315075,191.48432563150752,204.2627597322331,187.34224026776693,5.430000000000007
30,203.04,201.77,202.12207568751552,192.36723568751557,204.39485684446967,188.7981431555303,0.0
31,202.5307,201.05,201.96054065627658,193.47342065627663,204.70684044192097,189.72515955807904,0.0
32,203.82,201.55,202.5932294650233,193.92210946502334,205.42290345563205,190.06109654436798,0.0
33,205.23,202.77,203.3707741813155,194.38965418131554,206.1844283405173,190.5735716594827,0.0
34,204.78,203.8,203.64222313474687,195.19310313474693,206.6631583604472,191.3468416395528,4.179999999999978
35,207.07,205.89,206.45225723228026,199.67025723228028,208.14490826206514,198.56809173793488,0.0
36,206.2642,203.89,206.80701539897007,199.52101539897006,208.15405513643157,198.9099448635684,0.0
37,206.49,203.98,207.2909760829024,199.66497608290237,208.04140636133292,199.83259363866705,0.0
38,205.56,203.09,207.6822229466303,199.35222294663032,207.67111110935292,200.65088889064708,0.0
39,205.85,203.87,207.87392972142547,199.34392972142544,207.1629809436732,201.65301905632677,3.9799999999999898
40,208.66,207.54,210.04347898342598,203.682638983426,210.94735211053126,202.91064788946875,0.0
41,209.52,208.36,209.96900633881242,204.1641663388124,211.15393341786313,203.08106658213688,0.0
42,209.81,208.05,210.11934042465296,204.454500424653,211.40936308932484,203.15363691067515,0.0
43,209.76,206.96,210.49201513705364,204.10717513705364,211.42208784567063,203.32691215432934,0.0
44,207.13,205.03,210.72039242563636,203.68839242563638,211.41544820995128,203.2725517900487,4.780000000000001
45,208.18,206.41,210.71902409070947,203.8470240907095,211.48192789890226,203.3800721010977,0.0
46,206.8,205.28,210.90720927501974,203.43920927501978,211.33109538272066,203.72990461727937,0.0
47,205.85,204.42,210.73242223358884,203.19242223358887,211.40146382729435,203.5095361727057,0.0
48,205.98,204.47,210.52275869061978,203.01875869061982,211.2773209799547,203.7396790200453,0.0
49,205.77,203.88,210.52277961080972,202.81477961080975,211.16755488387378,203.97144511612623,4.300000000000011
50,206.4,205.36,210.37260876740103,202.81660876740105,210.95150455542245,204.37749544457756,0.0
