,MI,BBANDS Upper,BBands Lower,weekly_range
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,8.21950000000001
5,23.71742821996674,211.5195718188865,192.63042818111347,0.0
6,23.814163535565914,211.8320146589815,191.49598534101847,0.0
7,24.172643943214123,212.5924217987556,189.32257820124443,0.0
8,24.587343897367223,212.4362049153788,188.16179508462122,0.0
9,24.77576076811431,212.06456695831665,186.51443304168336,9.340000000000003
10,25.6643161115963,200.7544153370102,182.77858466298983,0.0
11,25.800672552241895,199.10323978923836,183.33976021076168,0.0
12,26.03900144469538,196.9961552624957,184.43484473750428,0.0
13,26.252950387506143,195.35866412819118,185.34033587180883,0.0
14,26.514913635480077,194.85559590672293,185.2424040932771,7.480000000000018
15,26.704354681969058,194.86997905869913,184.56802094130086,0.0
16,26.824753163345317,194.7537613208224,184.0082386791776,0.0
17,26.91504060244168,194.2329402978524,183.69405970214763,0.0
18,26.925791451875753,194.57218069222338,182.77081930777658,0.0
19,26.76719612588523,194.17218385937986,182.64681614062016,7.25
20,23.50205440636603,198.0428400982364,183.10915990176358,0.0
21,23.57761385437358,198.91661370044397,182.69138629955603,0.0
22,23.629509393031647,200.14501338716786,182.3549866128322,0.0
23,23.568606033870623,201.353552452626,182.00044754737405,0.0
24,23.5401555060685,202.5436099199052,181.69339008009476,8.019999999999982
25,23.458882813488216,203.64340372678913,181.85859627321088,0.0
26,23.393782615764856,203.98235913335972,182.82064086664028,0.0
27,23.33036982740884,204.29402501346368,183.91497498653632,0.0
28,23.329692765949464,204.38846357775105,185.24353642224895,0.0
29,23.426980629212522,204.2627597322331,187.34224026776693,5.430000000000007
30,23.37013017689008,204.39485684446967,188.7981431555303,0.0
31,23.28154407329501,204.70684044192097,189.72515955807904,0.0
32,23.211450688186794,205.42290345563205,190.06109654436798,0.0
33,23.1934845898088,206.1844283405173,190.5735716594827,0.0
34,23.112102356044115,206.6631583604472,191.3468416395528,4.179999999999978
35,23.40227859884826,208.14490826206514,198.56809173793488,0.0
36,23.473824131108007,208.15405513643157,198.9099448635684,0.0
37,23.5118691141168,208.04140636133292,199.83259363866705,0.0
38,23.63902679418705,207.67111110935292,200.65088889064708,0.0
39,23.785608911228202,207.1629809436732,201.65301905632677,3.9799999999999898
40,23.832103474109545,210.94735211053126,202.91064788946875,0.0
41,23.86233248349392,211.15393341786313,203.08106658213688,0.0
42,23.93505175979741,211.40936308932484,203.15363691067515,0.0
43,24.165293035178816,211.42208784567063,203.32691215432934,0.0
44,24.40845988096116,211.41544820995128,203.2725517900487,4.780000000000001
45,24.643338621250333,211.48192789890226,203.3800721010977,0.0
46,24.689061846591283,211.33109538272066,203.72990461727937,0.0
