,SPY_high,SPY_low,BBANDS Upper,BBands Lower,APZ Upper,APZ Lower,weekly_range
0,209.7295,207.2,0.0,0.0,215.06350071102793,201.38225496687062,0.0
1,208.289,205.78,0.0,0.0,214.46846275369734,200.9983869709938,0.0
2,208.68,204.18,0.0,0.0,213.60255418439442,200.0456677783888,0.0
3,207.43,205.14,0.0,0.0,213.15476684927702,199.7012199481679,0.0
4,204.14,201.51,0.0,0.0,211.5791415195375,198.27440198262977,8.21950000000001
5,193.41,189.82,211.5195718188865,192.63042818111347,202.5539808692034,192.08575964714944,0.0
6,194.55,191.14,211.8320146589815,191.49598534101847,201.59580167712497,191.07791471325888,0.0
7,194.86,188.38,212.5924217987556,189.32257820124443,199.98324499900542,189.28016941181244,0.0
8,193.26,187.66,212.4362049153788,188.16179508462122,199.23075836024492,188.2687272159347,0.0
9,188.76,185.52,212.06456695831665,186.51443304168336,197.87009746025225,186.6793091849896,9.340000000000003
10,194.58,191.84,200.7544153370102,182.77858466298983,195.0681643863836,182.11257804132381,0.0
11,191.97,189.54,199.10323978923836,183.33976021076168,195.01148949614984,182.01823148134295,0.0
12,191.78,187.1,196.9961552624957,184.43484473750428,195.20049976436525,182.1273310874571,0.0
13,192.75,189.96,195.35866412819118,185.34033587180883,195.4225031193957,182.2999054986934,0.0
14,191.6696,187.2,194.85559590672293,185.2424040932771,195.02379106832527,181.82011386430028,7.480000000000018
15,186.12,182.8,194.86997905869913,184.56802094130086,194.23021102506343,180.95914122266723,0.0
16,186.94,183.2,194.7537613208224,184.0082386791776,193.56485065263578,180.22400225721677,0.0
17,188.34,185.12,194.2329402978524,183.69405970214763,192.9947538634199,179.60031167541754,0.0
18,184.1,181.09,194.57218069222338,182.77081930777658,192.11169484314618,178.68449656273967,0.0
19,186.65,183.96,194.17218385937986,182.64681614062016,191.98611928285456,178.5543452750713,7.25
20,196.23,193.33,198.0428400982364,183.10915990176358,198.01588879798555,185.83243887011366,0.0
21,198.21,194.4542,198.91661370044397,182.69138629955603,199.07737708062348,186.97135512361314,0.0
22,199.06,197.25,200.14501338716786,182.3549866128322,200.1194559345333,188.11780431552424,0.0
23,199.795,198.11,201.353552452626,182.00044754737405,201.12769093675158,189.25592978297342,0.0
24,201.35,199.03,202.5436099199052,181.69339008009476,202.09022690559752,190.34725437322183,8.019999999999982
25,201.07,199.25,203.64340372678913,181.85859627321088,202.9480058429894,191.348437738278,0.0
26,199.92,198.21,203.98235913335972,182.82064086664028,203.27098343044977,191.82934467836216,0.0
27,199.79,198.43,204.29402501346368,183.91497498653632,203.70212326325722,192.44070427031588,0.0
28,201.07,197.38,204.38846357775105,185.24353642224895,204.10646067201384,192.96491008907896,0.0
29,202.81,199.5179,204.2627597322331,187.34224026776693,205.01678670440555,193.95746051082494,5.430000000000007
30,203.04,201.77,204.39485684446967,188.7981431555303,205.7312075980291,194.78935004038377,0.0
31,202.5307,201.05,204.70684044192097,189.72515955807904,206.26210513360766,195.45886988876393,0.0
32,203.82,201.55,205.42290345563205,190.06109654436798,206.9114137413201,196.23697665717216,0.0
33,205.23,202.77,206.1844283405173,190.5735716594827,207.7026501657799,197.14153573675677,0.0
34,204.78,203.8,206.6631583604472,191.3468416395528,208.30160419748123,197.8891000274218,4.179999999999978
35,207.07,205.89,208.14490826206514,198.56809173793488,211.0122474062853,202.20601778741118,0.0
36,206.2642,203.89,208.15405513643157,198.9099448635684,210.8435205168711,202.13514594896102,0.0
37,206.49,203.98,208.04140636133292,199.83259363866705,211.09291798595947,202.4543972139248,0.0
38,205.56,203.09,207.67111110935292,200.65088889064708,210.85541522519648,202.26435507705796,0.0
39,205.85,203.87,207.1629809436732,201.65301905632677,210.73671526138932,202.190424478177,3.9799999999999898
40,208.66,207.54,210.94735211053126,202.91064788946875,213.5638045406621,205.8320163460923,0.0
41,209.52,208.36,211.15393341786313,203.08106658213688,213.63316927631607,206.01358529618787,0.0
42,209.81,208.05,211.40936308932484,203.15363691067515,213.7472479286978,206.22518339010088,0.0
43,209.76,206.96,211.42208784567063,203.32691215432934,213.51153059036687,206.03965932613,0.0
44,207.13,205.03,211.41544820995128,203.2725517900487,213.10670171774285,205.66864047543055,4.780000000000001
45,208.18,206.41,211.48192789890226,203.3800721010977,213.0453994382815,205.6382394106845,0.0
46,206.8,205.28,211.33109538272066,203.72990461727937,212.64864380156794,205.27799086438685,0.0
47,205.85,204.42,211.40146382729435,203.5095361727057,212.08744576907324,204.76060647531946,0.0
48,205.98,204.47,211.2773209799547,203.7396790200453,211.58796713655013,204.30797287503478,0.0
49,205.77,203.88,211.16755488387378,203.97144511612623,211.28172753397328,204.03813351514137,4.300000000000011
50,206.4,205.36,210.95150455542245,204.37749544457756,211.03267386276477,203.84464821883492,0.0
51,208.5,206.64,210.99472713952525,204.58127286047477,211.2611328171786,204.11694850249742,0.0
52,208.54,206.5,210.96584513335193,204.4561548666481,211.12033654045572,204.00398884559198,0.0
53,207.4899,205.37,210.92914732394928,204.3458526760507,211.00950961675758,203.90490015891973,0.0
54,206.86,204.38,211.02207107645972,203.94492892354026,210.60444450878518,203.48626734144685,4.159999999999997
55,207.34,204.89,210.81075483943536,203.9122451605647,210.62427959793447,203.47272484182506,0.0
56,206.8,204.23,210.5153927374397,203.69860726256036,210.3062512780422,203.10125606869687,0.0
57,206.3,203.63,210.09010377560034,203.6078962243997,210.05783058579289,202.7799499738747,0.0
58,204.54,202.78,209.90592337136806,203.3260766286319,209.7227890289994,202.38663882719595,0.0
