,MI,KC Upper,KC Lower,weekly_range
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,8.21950000000001
5,23.71742821996674,207.02554692187343,194.22554692187342,0.0
6,23.814163535565914,206.65931578152063,193.17931578152061,0.0
7,24.172643943214123,206.32788346057092,191.28388346057093,0.0
8,24.587343897367223,206.42680798380587,189.7988079838059,0.0
9,24.77576076811431,206.2634193544451,187.91141935444512,9.340000000000003
10,25.6643161115963,200.56573027198993,184.45773027198993,0.0
11,25.800672552241895,200.37352417542266,184.18552417542261,0.0
12,26.03900144469538,199.80019958844088,184.55619958844085,0.0
13,26.252950387506143,199.44970180023265,184.78170180023264,0.0
14,26.514913635480077,199.13333748501628,184.30149748501628,7.480000000000018
15,26.704354681969058,198.92878306890233,183.2809430689023,0.0
16,26.824753163345317,198.54369003130748,182.5598500313075,0.0
17,26.91504060244168,197.784348021645,182.31250802164502,0.0
18,26.925791451875753,197.34693212324103,181.403092123241,0.0
19,26.76719612588523,196.8676540120993,181.35981401209932,7.25
20,23.50205440636603,197.29638607024827,186.4323860702483,0.0
21,23.57761385437358,198.20008185106107,186.7400818510611,0.0
22,23.629509393031647,198.48609986368865,187.70609986368862,0.0
23,23.568606033870623,199.14987257729493,188.31587257729493,0.0
24,23.5401555060685,199.90007241037702,188.83007241037703,8.019999999999982
25,23.458882813488216,200.27162570549152,189.65362570549152,0.0
26,23.393782615764856,200.54962349722362,190.02362349722367,0.0
27,23.33036982740884,200.38680729721702,190.97280729721703,0.0
28,23.329692765949464,200.948852297078,191.14685229707803,0.0
29,23.426980629212522,201.8911656315075,191.48432563150752,5.430000000000007
30,23.37013017689008,202.12207568751552,192.36723568751557,0.0
31,23.28154407329501,201.96054065627658,193.47342065627663,0.0
32,23.211450688186794,202.5932294650233,193.92210946502334,0.0
33,23.1934845898088,203.3707741813155,194.38965418131554,0.0
34,23.112102356044115,203.64222313474687,195.19310313474693,4.179999999999978
35,23.40227859884826,206.45225723228026,199.67025723228028,0.0
36,23.473824131108007,206.80701539897007,199.52101539897006,0.0
37,23.5118691141168,207.2909760829024,199.66497608290237,0.0
38,23.63902679418705,207.6822229466303,199.35222294663032,0.0
39,23.785608911228202,207.87392972142547,199.34392972142544,3.9799999999999898
40,23.832103474109545,210.04347898342598,203.682638983426,0.0
41,23.86233248349392,209.96900633881242,204.1641663388124,0.0
42,23.93505175979741,210.11934042465296,204.454500424653,0.0
43,24.165293035178816,210.49201513705364,204.10717513705364,0.0
44,24.40845988096116,210.72039242563636,203.68839242563638,4.780000000000001
45,24.643338621250333,210.71902409070947,203.8470240907095,0.0
46,24.689061846591283,210.90720927501974,203.43920927501978,0.0
47,24.74169263934803,210.73242223358884,203.19242223358887,0.0
48,24.824315049910556,210.52275869061978,203.01875869061982,0.0
49,24.769123401605757,210.52277961080972,202.81477961080975,4.300000000000011
50,24.725487350623183,210.37260876740103,202.81660876740105,0.0
51,24.662597186925513,210.84026801536353,202.70426801536357,0.0
52,24.597365312312895,210.87033733992678,202.6223373399268,0.0
53,24.545926312606525,210.71561829233255,202.73965829233256,0.0
54,24.57807704464214,210.54241230187282,202.53045230187283,4.159999999999997
55,24.641133460908115,210.71646665729023,202.4085066572902,0.0
56,24.69815557615941,210.51651388201267,202.27655388201268,0.0
57,24.856450140421646,210.56693794138806,201.94297794138805,0.0
58,25.02267485597958,210.49903560892795,201.62707560892795,0.0
59,25.17188433404322,210.43845847870466,201.57849847870466,4.560000000000002
60,25.141891695728674,210.3206504612458,201.53469046124582,0.0
61,25.18951998153588,210.59963535210179,201.62567535210175,0.0
62,25.24577862620801,210.8715641111386,201.95324411113862,0.0
63,25.19754932699059,210.87440415560388,202.50804415560384,0.0
64,25.101760370354015,210.8955271744096,203.1571671744096,5.264999999999986
65,24.84201523775906,211.61684356416555,205.28644356416555,0.0
66,24.659362562678794,211.94521160831016,205.57681160831015,0.0
67,24.478185366192534,211.84085032315795,206.37241032315796,0.0
68,24.33170525154957,211.980039428971,206.79195942897098,0.0
69,24.251290587239982,212.41537292894833,206.47929292894833,3.0900000000000034
70,24.249746767008265,212.53953153559368,206.15945153559366,0.0
71,24.356806916966764,212.4815997810522,205.9774797810522,0.0
72,24.450178376518693,212.3915481861903,205.7914281861903,0.0
73,24.629617161135776,212.57891017708337,205.46283017708336,0.0
74,24.68951537175768,212.44968418268633,205.1176041826863,4.780000000000001
75,24.681990822797264,212.6844798912742,204.71639989127422,0.0
76,24.56858909384207,212.69481892412136,204.65073892412136,0.0
77,24.427096632199813,212.78158183341642,204.44154183341644,0.0
78,24.27096872995712,213.32467134255458,204.3286313425546,0.0
79,24.73732285984395,213.89013275444637,202.67809275444637,8.150000000000006
80,25.141512638156925,213.54840722272175,201.35236722272177,0.0
81,25.47891382483427,213.5214929796235,200.57349297962352,0.0
82,25.674399622819315,213.86535077507207,200.16535077507208,0.0
83,25.841478887236647,214.10484128541466,200.40484128541468,0.0
84,25.96953047527235,214.06628507100055,200.92628507100056,11.840000000000003
85,26.220259051614285,214.42434482398136,203.35254482398136,0.0
86,26.110324314341366,214.48039782811804,204.460597828118,0.0
87,26.031681227764484,214.48035052117234,205.50055052117233,0.0
88,25.968869218177947,214.66916486399623,206.47736486399623,0.0
89,25.956896226642517,214.91565876959248,207.23405876959248,4.0625
90,25.86337723603144,215.36976753438302,207.79616753438302,0.0
91,25.613527034614105,215.54758020954543,208.4939802095454,0.0
