,SPY_open,SPY_high,SPY_low,SPY_close,ATR,VBM,MI,KAMA,BBANDS Upper,Moving Average,BBands Lower,APZ Upper,APZ Lower,KC Upper,KC Lower,DYMI,weekly_range
0,209.2,209.7295,207.2,208.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.06350071102793,201.38225496687062,0.0,0.0,0.0,0.0
1,206.48,208.289,205.78,206.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.46846275369734,200.9983869709938,0.0,0.0,0.0,0.0
2,206.2,208.68,204.18,205.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.60255418439442,200.0456677783888,0.0,0.0,0.0,0.0
3,205.44,207.43,205.14,205.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.15476684927702,199.7012199481679,0.0,0.0,0.0,0.0
4,203.38,204.14,201.51,201.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.5791415195375,198.27440198262977,0.0,0.0,0.0,8.21950000000001
5,193.05,193.41,189.82,192.11,2.827142857142854,-67.23038142747876,23.71742821996674,198.50008393524212,211.5195718188865,202.075,192.63042818111347,202.5539808692034,192.08575964714944,207.02554692187343,194.22554692187342,1.9908120452493705,0.0
6,193.85,194.55,191.14,193.66,2.9378571428571427,-69.12498372116517,23.814163535565914,197.67766522234464,211.8320146589815,201.664,191.49598534101847,201.59580167712497,191.07791471325888,206.65931578152063,193.17931578152061,21.569408680330938,0.0
7,194.53,194.86,188.38,188.87,3.2364285714285734,-68.64153805433466,24.172643943214123,194.93948282396772,212.5924217987556,200.9575,189.32257820124443,199.98324499900542,189.28016941181244,206.32788346057092,191.28388346057093,25.72996518268556,0.0
8,189.55,193.26,187.66,191.89,3.4571428571428595,-65.07265031652817,24.587343897367223,194.41642998895065,212.4362049153788,200.299,188.16179508462122,199.23075836024492,188.2687272159347,206.42680798380587,189.7988079838059,15.280460351081729,0.0
9,186.79,188.76,185.52,187.83,3.847142857142856,-64.71813948591519,24.77576076811431,193.1780043637975,212.06456695831665,199.2895,186.51443304168336,197.87009746025225,186.6793091849896,206.2634193544451,187.91141935444512,28.131697910588528,9.340000000000003
10,192.5,194.58,191.84,193.65,4.4378571428571485,-49.06550486929776,25.6643161115963,190.5796010389417,200.7544153370102,191.7665,182.77858466298983,195.0681643863836,182.11257804132381,200.56573027198993,184.45773027198993,58.04606038873881,0.0
11,191.9,191.97,189.54,190.11,4.487857142857147,-50.785879979828486,25.800672552241895,190.5733130820057,199.10323978923836,191.22150000000002,183.33976021076168,195.01148949614984,182.01823148134295,200.37352417542266,184.18552417542261,56.231221313940424,0.0
12,191.37,191.78,187.1,191.23,4.359285714285718,-46.59133307423239,26.03900144469538,190.60132591786484,196.9961552624957,190.7155,184.43484473750428,195.20049976436525,182.1273310874571,199.80019958844088,184.55619958844085,51.63397785633669,0.0
13,190.72,192.75,189.96,191.53,4.158571428571433,-46.14749999999998,26.252950387506143,190.63642640647586,195.35866412819118,190.3495,185.34033587180883,195.4225031193957,182.2999054986934,199.44970180023265,184.78170180023264,51.553242050596964,0.0
14,190.97,191.6696,187.2,187.98,4.022828571428578,-45.08647813589473,26.514913635480077,190.58831976176637,194.85559590672293,190.049,185.2424040932771,195.02379106832527,181.82011386430028,199.13333748501628,184.30149748501628,57.17980511861164,7.480000000000018
15,185.75,186.12,182.8,185.35,4.1135428571428605,-44.67578463371574,26.704354681969058,190.50317322050873,194.86997905869913,189.719,184.56802094130086,194.23021102506343,180.95914122266723,198.92878306890233,183.2809430689023,46.32240333557655,0.0
16,183.38,186.94,183.2,185.35,3.877828571428576,-45.80200072714444,26.824753163345317,190.25837207898465,194.7537613208224,189.381,184.0082386791776,193.56485065263578,180.22400225721677,198.54369003130748,182.5598500313075,42.10427485959205,0.0
17,186.44,188.34,185.12,185.31,3.8056857142857177,-45.29271934233065,26.91504060244168,190.1252875506573,194.2329402978524,188.9635,183.69405970214763,192.9947538634199,179.60031167541754,197.784348021645,182.31250802164502,40.994919178613706,0.0
18,182.38,184.1,181.09,183.03,3.817114285714289,-46.079511998965955,26.925791451875753,189.6244990498689,194.57218069222338,188.67149999999998,182.77081930777658,192.11169484314618,178.68449656273967,197.34693212324103,181.403092123241,35.11788622688732,0.0
19,184.93,186.65,183.96,186.65,3.851400000000002,-44.30623402672184,26.76719612588523,189.32781902277293,194.17218385937986,188.4095,182.64681614062016,191.98611928285456,178.5543452750713,196.8676540120993,181.35981401209932,32.41051988237494,7.25
20,195.08,196.23,193.33,193.56,2.9971428571428578,-52.14749500450837,23.50205440636603,191.96469514024366,198.0428400982364,190.576,183.10915990176358,198.01588879798555,185.83243887011366,197.29638607024827,186.4323860702483,71.76191033462787,0.0
21,195.05,198.21,194.4542,198.21,3.0621428571428573,-49.106781171514186,23.57761385437358,192.6409366973631,198.91661370044397,190.804,182.69138629955603,199.07737708062348,186.97135512361314,198.20008185106107,186.7400818510611,64.431232086704,0.0
22,197.7,199.06,197.25,199.03,2.961428571428572,-51.75966077066834,23.629509393031647,193.15719066602995,200.14501338716786,191.25000000000003,182.3549866128322,200.1194559345333,188.11780431552424,198.48609986368865,187.70609986368862,73.36027521497739,0.0
23,198.7,199.795,198.11,199.77,2.7803571428571416,-54.168800087113055,23.568606033870623,193.92712110764995,201.353552452626,191.67700000000002,182.00044754737405,201.12769093675158,189.25592978297342,199.14987257729493,188.31587257729493,78.32597358371949,0.0
