,SPY_high,SPY_low,MI,DYMI,weekly_range
0,209.7295,207.2,0.0,0.0,0.0
1,208.289,205.78,0.0,0.0,0.0
2,208.68,204.18,0.0,0.0,0.0
3,207.43,205.14,0.0,0.0,0.0
4,204.14,201.51,0.0,0.0,8.21950000000001
5,193.41,189.82,23.71742821996674,1.9908120452493705,0.0
6,194.55,191.14,23.814163535565914,21.569408680330938,0.0
7,194.86,188.38,24.172643943214123,25.72996518268556,0.0
8,193.26,187.66,24.587343897367223,15.280460351081729,0.0
9,188.76,185.52,24.77576076811431,28.131697910588528,9.340000000000003
10,194.58,191.84,25.6643161115963,58.04606038873881,0.0
11,191.97,189.54,25.800672552241895,56.231221313940424,0.0
12,191.78,187.1,26.03900144469538,51.63397785633669,0.0
13,192.75,189.96,26.252950387506143,51.553242050596964,0.0
14,191.6696,187.2,26.514913635480077,57.17980511861164,7.480000000000018
15,186.12,182.8,26.704354681969058,46.32240333557655,0.0
16,186.94,183.2,26.824753163345317,42.10427485959205,0.0
17,188.34,185.12,26.91504060244168,40.994919178613706,0.0
18,184.1,181.09,26.925791451875753,35.11788622688732,0.0
19,186.65,183.96,26.76719612588523,32.41051988237494,7.25
20,196.23,193.33,23.50205440636603,71.76191033462787,0.0
21,198.21,194.4542,23.57761385437358,64.431232086704,0.0
22,199.06,197.25,23.629509393031647,73.36027521497739,0.0
23,199.795,198.11,23.568606033870623,78.32597358371949,0.0
24,201.35,199.03,23.5401555060685,77.42206784833789,8.019999999999982
25,201.07,199.25,23.458882813488216,76.40452085205669,0.0
26,199.92,198.21,23.393782615764856,74.60810756451957,0.0
27,199.79,198.43,23.33036982740884,63.294023083731645,0.0
28,201.07,197.38,23.329692765949464,66.34817759697069,0.0
29,202.81,199.5179,23.426980629212522,63.477451041348786,5.430000000000007
30,203.04,201.77,23.37013017689008,77.61050732866869,0.0
31,202.5307,201.05,23.28154407329501,75.4072847021875,0.0
32,203.82,201.55,23.211450688186794,70.83704132854713,0.0
33,205.23,202.77,23.1934845898088,75.30158720413591,0.0
34,204.78,203.8,23.112102356044115,82.7662423542888,4.179999999999978
35,207.07,205.89,23.40227859884826,73.92289614116777,0.0
36,206.2642,203.89,23.473824131108007,68.60693138751978,0.0
37,206.49,203.98,23.5118691141168,48.57636184784102,0.0
38,205.56,203.09,23.63902679418705,58.467015430040966,0.0
39,205.85,203.87,23.785608911228202,45.45914545088004,3.9799999999999898
40,208.66,207.54,23.832103474109545,67.0197071323957,0.0
41,209.52,208.36,23.86233248349392,59.214444487684155,0.0
42,209.81,208.05,23.93505175979741,62.21135570078183,0.0
43,209.76,206.96,24.165293035178816,72.76919654309707,0.0
44,207.13,205.03,24.40845988096116,19.428230797552303,4.780000000000001
45,208.18,206.41,24.643338621250333,15.852995803351675,0.0
46,206.8,205.28,24.689061846591283,46.00384073914919,0.0
47,205.85,204.42,24.74169263934803,37.50368589300199,0.0
48,205.98,204.47,24.824315049910556,33.03915065532621,0.0
49,205.77,203.88,24.769123401605757,28.32431066517205,4.300000000000011
50,206.4,205.36,24.725487350623183,32.86690725460036,0.0
51,208.5,206.64,24.662597186925513,34.032357868198844,0.0
52,208.54,206.5,24.597365312312895,54.511171811636096,0.0
53,207.4899,205.37,24.545926312606525,44.050632813293326,0.0
54,206.86,204.38,24.57807704464214,45.00123358083687,4.159999999999997
55,207.34,204.89,24.641133460908115,36.32339339856253,0.0
56,206.8,204.23,24.69815557615941,46.92901332892627,0.0
57,206.3,203.63,24.856450140421646,42.10602599843299,0.0
58,204.54,202.78,25.02267485597958,44.237911450154165,0.0
59,206.1,204.86,25.17188433404322,37.66996744818282,4.560000000000002
60,205.84,204.985,25.141891695728674,49.41754123032383,0.0
61,208.24,206.14,25.18951998153588,48.89570959721933,0.0
62,209.77,207.8691,25.24577862620801,69.34455965380708,0.0
63,209.71,208.97,25.19754932699059,88.2602872570486,0.0
64,210.25,209.47,25.101760370354015,65.08135489365588,5.264999999999986
65,211.77,210.51,24.84201523775906,69.27654219204881,0.0
66,212.34,211.5,24.659362562678794,82.43918793367166,0.0
67,212.52,211.6899,24.478185366192534,83.19642507453347,0.0
68,212.22,211.19,24.33170525154957,88.35546720338867,0.0
69,210.86,209.43,24.251290587239982,82.05337582598195,3.0900000000000034
70,210.37,208.35,24.249746767008265,33.30356412766561,0.0
71,208.74,206.9199,24.356806916966764,23.704787973562603,0.0
72,209.36,207.53,24.450178376518693,13.149859200301435,0.0
73,208.57,205.59,24.629617161135776,33.059236102105615,0.0
74,207.2,205.75,24.68951537175768,35.63628853263353,4.780000000000001
75,209.61,207.75,24.681990822797264,27.23701057225847,0.0
76,208.92,207.78,24.56858909384207,38.638954679634686,0.0
77,209.5,207.93,24.427096632199813,40.67372648292745,0.0
78,210.87,209.27,24.27096872995712,39.93853219654027,0.0
79,210.8463,202.72,24.73732285984395,76.84035637416599,8.150000000000006
80,201.6,198.65,25.141512638156925,24.050536570515263,0.0
81,203.23,201.12,25.47891382483427,22.236323357045507,0.0
82,206.93,204.72,25.674399622819315,38.876081353593825,0.0
83,209.54,206.56,25.841478887236647,51.5457094419706,0.0
84,210.49,209.29,25.96953047527235,60.41530721788368,11.840000000000003
85,214.07,212.95,26.220259051614285,62.57681354345964,0.0
86,215.3,214.25,26.110324314341366,63.673493128863576,0.0
87,215.45,214.35,26.031681227764484,67.10049755484144,0.0
88,216.67,215.66,25.968869218177947,64.69070456547932,0.0
89,217.0125,215.308,25.956896226642517,81.58583409504864,4.0625
90,216.6,215.67,25.86337723603144,59.86540200039002,0.0
91,216.23,215.63,25.613527034614105,60.079324695398014,0.0
92,217.37,216.24,25.342944654684267,59.424492871721505,0.0
93,217.22,215.75,25.106523355403205,60.42974906655371,0.0
94,217.3,216.1,24.758190719331225,58.734681545185985,1.740000000000009
95,217.06,215.97,24.500075286139644,61.9298805248878,0.0
96,217.17,215.76,24.303934857630857,61.9118263049915,0.0
97,217.27,215.62,24.25366786706765,75.51878269222446,0.0
98,217.11,215.75,24.22331445560813,66.51961685234917,0.0
99,217.54,216.13,24.209830397313315,66.54551724427637,1.9199999999999875
100,217.65,216.405,23.635913618281272,64.67863512705063,0.0
101,216.83,214.57,23.324582632778736,46.69905834385045,0.0
102,216.245,215.13,23.10698058678649,22.113974447983807,0.0
103,216.78,214.25,23.097268642492562,49.37664221796116,0.0
104,218.23,217.07,23.016512062211383,49.07213952041168,3.9799999999999898
105,218.52,217.74,22.96873304444372,71.8148838738791,0.0
106,218.76,217.8,22.951191492225696,68.37091823040856,0.0
107,218.4038,217.23,22.88378268904327,66.62792697343937,0.0
108,218.94,217.95,22.813797348465524,55.29067611444551,0.0
109,218.71,217.99,22.70002290015437,66.993296907349,1.710000000000008
110,219.5,218.88,22.619284609544867,63.07834440522615,0.0
111,218.68,217.96,22.58123275677911,69.0091748754411,0.0
112,218.53,217.02,22.68343924850795,55.10408662815713,0.0
113,218.9,218.21,22.771686738683567,57.35120598445161,0.0
114,218.75,217.74,22.835080223971413,62.04530545892542,2.4799999999999898
115,218.8,217.83,22.943628797140953,64.43525099094994,0.0
116,219.6,218.9,23.073640263201934,61.61148363670138,0.0
117,218.91,217.36,23.296385736948537,64.49737296102882,0.0
118,218.19,217.22,23.445431749340443,44.92043392695937,0.0
119,219.12,216.25,23.840287232227933,43.065777069193324,3.3499999999999943
120,218.665,217.4,24.152793535739825,38.599043806968126,0.0
121,218.59,217.35,24.363524947456696,53.340185467120264,0.0
122,217.75,216.465,24.478923700019728,45.11328461189271,0.0
123,217.73,216.03,24.613817664017045,40.9318874933721,0.0
124,218.87,217.7,24.683804571873317,36.58822829978212,2.8400000000000034
125,214.88,213.03,26.570199834629683,36.815467314497454,0.0
126,214.59,213.38,26.725769549151117,37.40043797006593,0.0
127,216.03,213.44,26.95097644617622,38.10397897971292,0.0
128,217.53,216.71,26.959786726785087,49.289783668778036,0.0
129,216.88,215.88,26.952354164279054,53.00730430667576,4.5
130,215.23,214.01,26.905514357335168,47.30295237043324,0.0
131,215.68,213.62,26.915765961829226,41.54199178305651,0.0
132,216.82,214.71,27.00985142420878,47.55460613950714,0.0
133,216.87,214.04,27.08662319427445,59.75304270678114,0.0
134,217.12,215.36,27.14264235531703,46.30435485498415,3.5
135,216.04,215.04,26.845638107420434,58.44236893790419,0.0
136,216.17,213.99,26.674316311912747,55.95519252074322,0.0
137,216.13,215.33,26.467323841603772,47.010709260246,0.0
138,216.04,214.735,26.280941028406684,55.202701732462955,0.0
139,216.3,214.19,26.138268695379065,55.8233777734927,2.3100000000000023
140,216.7,215.985,25.96328502981441,51.57627853641261,0.0
141,215.74,212.58,25.995540786902612,52.642533855340176,0.0
142,214.32,213.01,26.026011685332435,37.09093229890041,0.0
143,213.59,211.21,26.171249349243276,36.649863938468926,0.0
144,214.69,213.03,25.95572522585118,40.438418503595805,5.489999999999981
145,213.39,212.17,25.458490115569823,37.53206449169705,0.0
146,214.31,213.27,24.996754265005887,30.784693525868988,0.0
147,214.64,213.6,24.606914285155934,45.325378506289205,0.0
148,214.53,213.11,24.247132304346277,44.96457972262096,0.0
149,214.08,212.76,24.055434389100952,43.66625211379941,2.469999999999999
150,215.32,214.48,23.86480939646706,47.55460237778823,0.0
151,214.98,213.98,23.74646589299767,52.43674854659091,0.0
152,214.42,212.93,23.623449442981904,45.92325807166746,0.0
153,214.62,213.08,23.652358580762503,44.824371643223635,0.0
154,213.93,211.71,23.844206958080086,36.45621718409149,3.609999999999985
155,213.19,212.36,23.96214810095468,39.43448707157033,0.0
156,212.99,209.6,24.230834731303876,21.033537322746383,0.0
157,211.1,209.23,24.409258590476878,0.29198210570919514,0.0
158,210.24,208.46,24.451629812798547,0.20987061547981511,0.0
159,209.89,208.38,24.47459622588806,0.16615441999988434,4.810000000000002
160,213.19,211.3,24.587448614115786,0.16595236296475946,0.0
161,214.77,212.38,24.6960731362127,64.50777102738539,0.0
162,217.1,212.34,25.11478285719734,69.30418871470258,0.0
163,218.31,215.22,25.511484077626328,83.93166629755586,0.0
164,216.7,215.32,25.677291761860058,66.26046666550405,7.009999999999991
165,217.27,215.72,25.839652846779465,64.80561468593919,0.0
166,218.28,216.8,25.75599753932991,57.45806938575044,0.0
167,218.14,217.42,25.63118789194175,60.54052695701019,0.0
168,219.06,217.92,25.413659171666623,72.15039793581272,0.0
169,219.27,218.29,25.193748934460864,75.20536539898644,3.5500000000000114
170,226.96,225.76,24.330288021580202,100.0,0.0
171,228.34,227.0,24.264434913156748,80.18385966348119,0.0
172,228.23,225.365,24.313935552536005,83.5431109546142,0.0
173,227.81,225.8904,24.132360172949188,66.62410998955724,0.0
174,226.08,224.67,23.919797902648973,72.71577440721308,3.670000000000016
175,227.0701,226.4163,24.94381207229601,63.86301068504791,0.0
176,227.45,226.01,24.995570172190842,58.417257610785065,0.0
177,227.1,225.59,25.09256220408361,59.8191019622556,0.0
178,226.75,224.955,25.235840275801152,61.01092807564385,0.0
179,227.4,226.69,25.00693755552735,59.59231586121897,2.494999999999976
180,228.2,226.41,24.4351076948491,65.30700807292997,0.0
181,227.6,226.32,24.61417653285998,52.952130594892424,0.0
182,228.59,226.94,24.889503142245943,51.091819917985326,0.0
183,228.1,226.82,25.148423925176427,53.620141829995525,0.0
184,229.55,228.46,25.150672208454324,53.222577211383395,3.230000000000018
185,229.326,228.54,25.11321351082253,66.99791543650237,0.0
186,229.6556,228.72,24.934685312916397,61.608247763348906,0.0
187,229.39,228.31,24.71599230716141,65.2639724938791,0.0
188,230.95,229.52,24.62497938246109,65.15001307019773,0.0
189,231.77,230.6216,24.585715722609393,75.72735843345848,3.460000000000008
190,237.31,236.35,24.784725860285718,79.12917645757759,0.0
191,236.95,236.015,24.700699786448695,79.42080042380205,0.0
192,240.32,238.37,24.683078949214945,83.5488878071364,0.0
193,239.57,238.21,24.720753176119672,89.31957234269797,0.0
194,238.61,237.73,24.77506364335386,73.11335348214696,4.305000000000007
195,238.12,237.01,24.854206071527095,71.94452051160047,0.0
196,237.77,236.76,24.810672081287134,63.71973807943692,0.0
197,237.64,236.4,24.784904531301628,55.01240637859422,0.0
198,237.24,235.74,24.760056203294855,52.14996382150126,0.0
199,238.02,236.59,24.77323680707606,53.292851153376134,2.3799999999999955
200,237.86,237.24,24.72730665592424,55.42807198375038,0.0
201,237.24,236.19,24.73983814735379,57.046944182524605,0.0
202,239.44,237.29,24.91802630258981,48.610956786215496,0.0
203,239.2,238.1,25.038397135662617,61.14058366373489,0.0
204,237.97,237.03,25.049939040141027,56.696172694005035,3.25
205,236.03,233.91,26.255784736589113,49.59531941149456,0.0
206,235.58,234.555,26.244240193381724,46.3989171694583,0.0
207,237.39,234.54,26.25200928898344,41.017433596585576,0.0
208,236.04,234.425,26.232307398596063,39.92581411789026,0.0
209,236.0,234.64,26.233764549702556,46.79930436275108,3.4799999999999898
210,237.41,234.5628,26.25676445491621,55.35829086788173,0.0
211,238.95,237.81,26.29795094058839,79.23819373025782,0.0
212,239.53,238.35,25.93412882237395,81.22130608957382,0.0
213,238.95,237.98,25.615523412336156,66.71265037280939,0.0
214,238.93,237.93,25.314025356215957,56.4009558578134,4.967199999999991
215,239.17,238.195,24.99394207834171,56.48186885968511,0.0
216,238.98,238.3,24.618065663925545,58.500269042534605,0.0
217,238.8775,237.7,24.24505337971542,63.48785386676404,0.0
218,238.9225,237.78,24.030355944995975,61.59606223454843,0.0
219,239.72,238.68,23.8951550055682,71.8849954373157,2.0200000000000102
220,239.92,239.17,23.818378271024578,79.48146674549301,0.0
221,240.19,239.04,23.710560492294004,81.28990611552584,0.0
222,239.87,239.15,23.63393179034307,74.39165246169466,0.0
223,239.57,238.13,23.504227700796704,81.77134248742823,0.0
224,239.4273,238.67,23.369662277435776,65.520827803869,2.0600000000000023
225,240.44,239.45,23.292768237633084,51.60631978026089,0.0
226,240.67,239.63,23.2478981143467,67.4308495098377,0.0
227,238.64,235.75,23.45457304060294,59.23000987166848,0.0
228,237.75,235.43,23.775181620788054,15.400320840017642,0.0
229,239.08,237.27,24.009108478777353,29.505949428307346,5.239999999999981
230,239.71,238.82,24.102365021519873,47.03524792836387,0.0
231,240.24,239.51,24.113401255987014,57.810439773868055,0.0
232,240.73,239.93,24.043420347461126,56.80467350033664,0.0
233,242.08,240.96,23.933742204158992,57.80485369778445,0.0
234,241.9,241.45,23.800254907729542,63.17074151941783,3.2600000000000193
235,244.3,243.76,23.609131776987834,72.79133360905477,0.0
236,243.98,243.12,23.670008376553184,71.88520660122722,0.0
237,243.92,242.83,23.802166480794575,62.98801253853901,0.0
238,244.33,243.17,23.932826090949856,64.44553372248143,0.0
239,245.01,241.95,24.322589392427883,64.56507310109882,3.0600000000000023
240,243.42,242.38,24.591733273176757,63.70451006934195,0.0
241,244.61,243.5799,24.81446098317697,69.41203716542591,0.0
242,244.87,243.29,25.019526042983955,75.62192422613697,0.0
243,243.91,242.36,25.258205800065753,67.74935935503743,0.0
244,242.83,241.6337,25.366458037800165,60.92693893830904,3.2363
245,244.73,243.48,25.48839180268961,48.64447834115961,0.0
246,244.26,242.99,25.584997252754018,63.47104882407999,0.0
247,243.59,242.41,25.643141514438934,45.81795517875584,0.0
248,243.53,242.64,25.378864573165902,42.81596298924159,0.0
249,243.51,242.47,25.037293119948895,42.52463844227189,2.319999999999993
250,244.38,243.045,24.768567592847088,57.07662472059445,0.0
251,243.38,241.31,24.753348173454345,47.61548659009541,0.0
252,243.715,242.23,24.841420153798804,33.45118679375999,0.0
253,243.72,239.955,25.23776529268467,51.35128447669435,0.0
254,242.71,241.575,25.478063063162427,40.26355513083832,4.424999999999983
255,242.8,241.76,26.06451460183741,44.20382178003676,0.0
256,242.55,240.85,26.140508884685453,49.05849730621245,0.0
257,244.2,243.3,26.1635447958333,48.124891394332565,0.0
