,SPY_high,SPY_low,KAMA,MI,weekly_range
0,209.7295,207.2,0.0,0.0,0.0
1,208.289,205.78,0.0,0.0,0.0
2,208.68,204.18,0.0,0.0,0.0
3,207.43,205.14,0.0,0.0,0.0
4,204.14,201.51,0.0,0.0,8.21950000000001
5,193.41,189.82,198.50008393524212,23.71742821996674,0.0
6,194.55,191.14,197.67766522234464,23.814163535565914,0.0
7,194.86,188.38,194.93948282396772,24.172643943214123,0.0
8,193.26,187.66,194.41642998895065,24.587343897367223,0.0
9,188.76,185.52,193.1780043637975,24.77576076811431,9.340000000000003
10,194.58,191.84,190.5796010389417,25.6643161115963,0.0
11,191.97,189.54,190.5733130820057,25.800672552241895,0.0
12,191.78,187.1,190.60132591786484,26.03900144469538,0.0
13,192.75,189.96,190.63642640647586,26.252950387506143,0.0
14,191.6696,187.2,190.58831976176637,26.514913635480077,7.480000000000018
15,186.12,182.8,190.50317322050873,26.704354681969058,0.0
16,186.94,183.2,190.25837207898465,26.824753163345317,0.0
17,188.34,185.12,190.1252875506573,26.91504060244168,0.0
18,184.1,181.09,189.6244990498689,26.925791451875753,0.0
19,186.65,183.96,189.32781902277293,26.76719612588523,7.25
20,196.23,193.33,191.96469514024366,23.50205440636603,0.0
21,198.21,194.4542,192.6409366973631,23.57761385437358,0.0
22,199.06,197.25,193.15719066602995,23.629509393031647,0.0
23,199.795,198.11,193.92712110764995,23.568606033870623,0.0
24,201.35,199.03,194.7370315507305,23.5401555060685,8.019999999999982
25,201.07,199.25,195.27027848326802,23.458882813488216,0.0
26,199.92,198.21,195.57504302563882,23.393782615764856,0.0
27,199.79,198.43,195.96203288728427,23.33036982740884,0.0
28,201.07,197.38,196.19756194729112,23.329692765949464,0.0
29,202.81,199.5179,197.07846410499704,23.426980629212522,5.430000000000007
30,203.04,201.77,198.1880550057513,23.37013017689008,0.0
31,202.5307,201.05,198.5823283462348,23.28154407329501,0.0
32,203.82,201.55,199.0949303202331,23.211450688186794,0.0
33,205.23,202.77,199.78284125626226,23.1934845898088,0.0
34,204.78,203.8,200.22729832206542,23.112102356044115,4.179999999999978
35,207.07,205.89,203.41563156883322,23.40227859884826,0.0
36,206.2642,203.89,203.42293291930235,23.473824131108007,0.0
37,206.49,203.98,203.5016841802174,23.5118691141168,0.0
38,205.56,203.09,203.50529343401084,23.63902679418705,0.0
39,205.85,203.87,203.5211000655247,23.785608911228202,3.9799999999999898
40,208.66,207.54,206.62609778740318,23.832103474109545,0.0
41,209.52,208.36,206.9011463228146,23.86233248349392,0.0
42,209.81,208.05,207.03135099274343,23.93505175979741,0.0
43,209.76,206.96,207.03670184209088,24.165293035178816,0.0
44,207.13,205.03,207.01251019058662,24.40845988096116,4.780000000000001
45,208.18,206.41,207.03730837173376,24.643338621250333,0.0
46,206.8,205.28,206.94993683510916,24.689061846591283,0.0
47,205.85,204.42,206.68609618211156,24.74169263934803,0.0
48,205.98,204.47,206.50204076898393,24.824315049910556,0.0
49,205.77,203.88,206.4457925221748,24.769123401605757,4.300000000000011
50,206.4,205.36,206.4154845630767,24.725487350623183,0.0
51,208.5,206.64,206.43283412046023,24.662597186925513,0.0
52,208.54,206.5,206.4353703487221,24.597365312312895,0.0
53,207.4899,205.37,206.43676416089409,24.545926312606525,0.0
54,206.86,204.38,206.40177770997445,24.57807704464214,4.159999999999997
55,207.34,204.89,206.40797301527402,24.641133460908115,0.0
56,206.8,204.23,206.38233194399447,24.69815557615941,0.0
57,206.3,203.63,206.37569749426564,24.856450140421646,0.0
58,204.54,202.78,206.35451611124356,25.02267485597958,0.0
59,206.1,204.86,206.34972030421204,25.17188433404322,4.560000000000002
60,205.84,204.985,206.33811227380278,25.141891695728674,0.0
61,208.24,206.14,206.35105217128978,25.18951998153588,0.0
62,209.77,207.8691,206.46572113765112,25.24577862620801,0.0
63,209.71,208.97,206.58031665248203,25.19754932699059,0.0
64,210.25,209.47,207.0319147548929,25.101760370354015,5.264999999999986
65,211.77,210.51,209.69885158946602,24.84201523775906,0.0
66,212.34,211.5,210.308389384008,24.659362562678794,0.0
67,212.52,211.6899,210.857582995365,24.478185366192534,0.0
68,212.22,211.19,211.04486185434837,24.33170525154957,0.0
69,210.86,209.43,211.0291822508027,24.251290587239982,3.0900000000000034
70,210.37,208.35,210.91987491115123,24.249746767008265,0.0
71,208.74,206.9199,210.78736787789114,24.356806916966764,0.0
72,209.36,207.53,210.592321232538,24.450178376518693,0.0
73,208.57,205.59,210.44113121613802,24.629617161135776,0.0
74,207.2,205.75,210.05947147465633,24.68951537175768,4.780000000000001
75,209.61,207.75,209.88129061047823,24.681990822797264,0.0
76,208.92,207.78,209.77281846429045,24.56858909384207,0.0
77,209.5,207.93,209.56171482039545,24.427096632199813,0.0
78,210.87,209.27,209.58198540772756,24.27096872995712,0.0
79,210.8463,202.72,208.99273106550427,24.73732285984395,8.150000000000006
80,201.6,198.65,207.9023241415824,25.141512638156925,0.0
81,203.23,201.12,207.72797665818717,25.47891382483427,0.0
82,206.93,204.72,207.71986110194027,25.674399622819315,0.0
83,209.54,206.56,207.73441233233223,25.841478887236647,0.0
84,210.49,209.29,207.77358001269562,25.96953047527235,11.840000000000003
85,214.07,212.95,208.60275602865616,26.220259051614285,0.0
86,215.3,214.25,210.62228756089934,26.110324314341366,0.0
87,215.45,214.35,211.8376852710232,26.031681227764484,0.0
88,216.67,215.66,212.93466870139582,25.968869218177947,0.0
89,217.0125,215.308,213.4849505161239,25.956896226642517,4.0625
90,216.6,215.67,214.0564015685656,25.86337723603144,0.0
